OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,GlobalID,SHAPE_Length,SHAPE_Area
1,1,NEW BRUNSWICK SYSTEM OPERATOR,515 KING STREET,FREDERICTON,NB,E3B 4X1,(800) 663-6272,CAN,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00+00,OTHER,2018/06/04 00:00:00+00,https://www.nbpower.com/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,{A7EAE21E-6142-48FD-8735-6EC524946CF8},16.7162886293864,-3.34537460543554
2,189,POWERSOUTH ENERGY COOPERATIVE,2027 EAST THREE NOTCH STREET,ANDALUSIA,AL,36421,(334) 427-3000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.powersouth.com/,2019,1,2046,2,8,0,2768,1991,576,{2BD26C82-3D4E-4A1E-973A-BCB31F3B56B9},42.2721403125059,-6.89451258454024
3,317,"ALCOA POWER GENERATING, INC. - YADKIN DIVISION",201 ISABELLA ST. SUITE 500,PITTSBURG,PA,NOT AVAILABLE,(412) 315-2900,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.alcoa.com/,2019,3,219,0,0,0,219,10,1,{2ABEF5F2-993A-4E61-ACFF-FE26A00CF8D7},1.30092939716409,-0.0841025939384602
4,599,ANCHORAGE MUNICIPAL LIGHT & POWER,1200 EAST FIRST AVENUE,ANCHORAGE,AK,99501,(435) 477-3331,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2017/11/09 00:00:00+00,OTHER,2018/06/04 00:00:00+00,http://parowan.org/,NOT AVAILABLE,-999999,-999999,-999999,-999999,-999999,-999999,-999999,-999999,{2F057D0B-D43A-45AE-9FE1-9A5B3475B446},7.02654540607655,-0.745068758583119
5,803,ARIZONA PUBLIC SERVICE COMPANY,MS # 9997,PHOENIX,AZ,85072,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://webcache.googleusercontent.com/search?q=cache:JDyOjDQm7XQJ:https://www.aps.com/en/globalservices/serviceareamaps+&cd=1&hl=en&ct=clnk&gl=us,2019,8,6530,0,784,0,9030,7030,3155,{049A49DE-1A5D-46A4-9CB1-19107832D477},30.5293059540182,-12.4350300442652
6,924,"ASSOCIATED ELECTRIC COOPERATIVE, INC.",2814 S GOLDEN AVE,SPRINGFIELD,MO,65807,(417) 881-1204,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.aeci.org/,2019,3,5347,44,2,0,6171,4953,1769,{7D5B6092-7EC2-4686-9CFC-C44ACC4BA32B},48.1692316249791,-22.4093128152243
7,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,https://www.bpa.gov/,2019,2,20879,4869,889,0,22104,10275,5641,{3865894C-8755-4436-A42D-E06C0FAE00FC},164.313266798541,-80.9818679837669
8,2775,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,250 OUTCROPPING WAY,FOLSOM,CA,95630,(916) 351-4400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.caiso.com/,2019,8,60405,943,3815,0,71588,44145,21328,{D0C16237-33DA-49BC-B7BB-0F740D8D57A1},76.9267562504741,33.5665184575892
9,3046,DUKE ENERGY PROGRESS EAST,1411 FAYETTEVILLE S,RALEIGH,NC,27602,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,NOT AVAILABLE,2019,1,14995,70,100,0,15941,13669,4650,{F755B286-09DB-4CF3-AE06-83E85716BAE8},38.3731921676519,-9.25103480571996
10,3413,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,P O BOX 1231,WENATCHEE,WA,98807,(509) 663-8121,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/15 00:00:00+00,http://www.chelanpud-org/index-html,2019,2,1404,476,19,0,1899,463,230,{04AEB304-6789-4785-90B8-47CD9E2EE37E},6.10980406698514,-0.931643396350252
