origin,destination,Year,Month,monthlyTransferMWh
AEC,MISO,2018,1,119447
AEC,MISO,2018,2,67662
AEC,MISO,2018,3,41530
AEC,MISO,2018,4,30003
AEC,MISO,2018,5,50136
AEC,MISO,2018,6,85506
AEC,MISO,2018,7,93000
AEC,MISO,2018,8,101198
AEC,MISO,2018,9,54991
AEC,MISO,2018,10,66543
AEC,MISO,2018,11,50609
AEC,MISO,2018,12,112475
AEC,SOCO,2018,1,143134
AEC,SOCO,2018,2,6075
AEC,SOCO,2018,3,17717
AEC,SOCO,2018,4,36647
AEC,SOCO,2018,5,27464
AEC,SOCO,2018,6,57804
AEC,SOCO,2018,7,145301
AEC,SOCO,2018,8,141455
AEC,SOCO,2018,9,53586
AEC,SOCO,2018,10,61488
AEC,SOCO,2018,11,30557
AEC,SOCO,2018,12,22146
AECI,MISO,2018,1,370094
AECI,MISO,2018,2,560525
AECI,MISO,2018,3,343994
AECI,MISO,2018,4,642168
AECI,MISO,2018,5,683109
AECI,MISO,2018,6,400450
AECI,MISO,2018,7,173957
AECI,MISO,2018,8,318698
AECI,MISO,2018,9,274165
AECI,MISO,2018,10,422070
AECI,MISO,2018,11,280984
AECI,MISO,2018,12,403121
AECI,SPA,2018,1,16692
AECI,SPA,2018,2,2557
AECI,SPA,2018,3,3264
AECI,SPA,2018,4,12745
AECI,SPA,2018,5,5240
AECI,SPA,2018,6,1976
AECI,SPA,2018,7,1559
AECI,SPA,2018,8,10083
AECI,SPA,2018,9,5487
AECI,SPA,2018,10,8375
AECI,SPA,2018,11,6375
AECI,SPA,2018,12,1860
AECI,SWPP,2018,1,14081
AECI,SWPP,2018,2,77721
AECI,SWPP,2018,3,45327
AECI,SWPP,2018,4,46348
AECI,SWPP,2018,5,136929
AECI,SWPP,2018,6,131281
AECI,SWPP,2018,7,130550
AECI,SWPP,2018,8,121881
AECI,SWPP,2018,9,27593
AECI,SWPP,2018,10,249449
AECI,SWPP,2018,11,101190
AECI,SWPP,2018,12,18014
AECI,TVA,2018,1,250687
AECI,TVA,2018,2,182830
AECI,TVA,2018,3,223861
AECI,TVA,2018,4,188713
AECI,TVA,2018,5,150576
AECI,TVA,2018,6,186258
AECI,TVA,2018,7,154392
AECI,TVA,2018,8,170818
AECI,TVA,2018,9,161332
AECI,TVA,2018,10,113929
AECI,TVA,2018,11,210979
AECI,TVA,2018,12,204973
AESO,NWMT,2018,1,3234
AESO,NWMT,2018,2,1076
AESO,NWMT,2018,3,8
AESO,NWMT,2018,5,26
AESO,NWMT,2018,6,112
AESO,NWMT,2018,7,14175
AESO,NWMT,2018,8,13235
AESO,NWMT,2018,9,4971
AESO,NWMT,2018,10,1777
AESO,NWMT,2018,11,1514
AESO,NWMT,2018,12,5762
AVA,BPAT,2018,3,34
AVA,BPAT,2018,4,767
AVA,CHPD,2018,3,289
AVA,CHPD,2018,4,3601
AVA,CHPD,2018,5,22
AVA,CHPD,2018,7,418
AVA,CHPD,2018,8,1575
AVA,CHPD,2018,9,2009
AVA,CHPD,2018,10,907
AVA,CHPD,2018,11,2
AVA,GCPD,2018,1,243
AVA,GCPD,2018,2,455
AVA,GCPD,2018,3,6576
AVA,GCPD,2018,4,25882
AVA,GCPD,2018,5,19737
AVA,GCPD,2018,6,17486
AVA,GCPD,2018,7,20101
AVA,GCPD,2018,8,14886
AVA,GCPD,2018,9,2882
AVA,GCPD,2018,10,5533
AVA,GCPD,2018,11,2730
AVA,GCPD,2018,12,2633
AVA,IPCO,2018,1,57147
AVA,IPCO,2018,2,83056
AVA,IPCO,2018,3,66564
AVA,IPCO,2018,4,51734
AVA,IPCO,2018,5,142011
AVA,IPCO,2018,6,151760
AVA,IPCO,2018,7,146089
AVA,IPCO,2018,8,89720
AVA,IPCO,2018,9,36617
AVA,IPCO,2018,10,23300
AVA,IPCO,2018,11,20253
AVA,IPCO,2018,12,10920
AVA,NWMT,2018,1,409
AVA,NWMT,2018,2,4407
AVA,NWMT,2018,3,256
AVA,NWMT,2018,4,9540
AVA,NWMT,2018,5,26584
