origin,destination,Year,Month,Day,monthlyTransferMWh
AEC,MISO,2018,1,11904,82528
AEC,MISO,2018,2,9654,47008
AEC,MISO,2018,3,9484,28966
AEC,MISO,2018,4,9758,21314
AEC,MISO,2018,5,11224,35484
AEC,MISO,2018,6,11160,60546
AEC,MISO,2018,7,11904,68980
AEC,MISO,2018,8,11666,68821
AEC,MISO,2018,9,8863,37226
AEC,MISO,2018,10,10740,46896
AEC,MISO,2018,11,10775,36127
AEC,MISO,2018,12,11893,79760
AEC,SOCO,2018,1,5125,143134
AEC,SOCO,2018,2,2920,6075
AEC,SOCO,2018,3,7821,17717
AEC,SOCO,2018,4,8152,36647
AEC,SOCO,2018,5,5366,27464
AEC,SOCO,2018,6,10168,57804
AEC,SOCO,2018,7,11534,145301
AEC,SOCO,2018,8,11904,141455
AEC,SOCO,2018,9,4817,53586
AEC,SOCO,2018,10,8551,61488
AEC,SOCO,2018,11,4648,30557
AEC,SOCO,2018,12,2169,22146
AECI,MISO,2018,1,15636,370094
AECI,MISO,2018,2,15077,560525
AECI,MISO,2018,3,15826,343994
AECI,MISO,2018,4,21104,642168
AECI,MISO,2018,5,22588,683109
AECI,MISO,2018,6,16807,400450
AECI,MISO,2018,7,12669,173957
AECI,MISO,2018,8,18925,318698
AECI,MISO,2018,9,18112,274165
AECI,MISO,2018,10,19044,422070
AECI,MISO,2018,11,15917,280984
AECI,MISO,2018,12,19599,403121
AECI,SPA,2018,1,5602,16692
AECI,SPA,2018,2,583,2557
AECI,SPA,2018,3,1821,3264
AECI,SPA,2018,4,4187,12745
AECI,SPA,2018,5,170,5240
AECI,SPA,2018,6,621,1976
AECI,SPA,2018,7,396,1559
AECI,SPA,2018,8,3198,10083
AECI,SPA,2018,9,1655,5487
AECI,SPA,2018,10,2080,8375
AECI,SPA,2018,11,2812,6375
AECI,SPA,2018,12,1445,1860
AECI,SWPP,2018,1,1902,14081
AECI,SWPP,2018,2,5618,77721
AECI,SWPP,2018,3,3878,45327
AECI,SWPP,2018,4,3744,46348
AECI,SWPP,2018,5,11564,136929
AECI,SWPP,2018,6,9571,131281
AECI,SWPP,2018,7,13973,130550
AECI,SWPP,2018,8,8418,121881
AECI,SWPP,2018,9,3178,27593
AECI,SWPP,2018,10,13661,249449
AECI,SWPP,2018,11,6358,101190
AECI,SWPP,2018,12,2562,18014
AECI,TVA,2018,1,13868,250687
AECI,TVA,2018,2,11022,182830
AECI,TVA,2018,3,13843,223861
AECI,TVA,2018,4,13348,188713
AECI,TVA,2018,5,13544,150576
AECI,TVA,2018,6,12584,186258
AECI,TVA,2018,7,11904,154392
AECI,TVA,2018,8,11904,170818
AECI,TVA,2018,9,13644,161332
AECI,TVA,2018,10,11732,113929
AECI,TVA,2018,11,13171,210979
AECI,TVA,2018,12,14633,204973
AESO,NWMT,2018,1,682,3234
AESO,NWMT,2018,2,470,1076
AESO,NWMT,2018,3,4,8
AESO,NWMT,2018,5,45,26
AESO,NWMT,2018,6,293,112
AESO,NWMT,2018,7,4282,14175
AESO,NWMT,2018,8,4287,13235
AESO,NWMT,2018,9,1813,4971
AESO,NWMT,2018,10,2258,1777
AESO,NWMT,2018,11,2170,1514
AESO,NWMT,2018,12,2898,5762
AVA,BPAT,2018,3,57,34
AVA,BPAT,2018,4,305,767
AVA,CHPD,2018,3,2229,289
AVA,CHPD,2018,4,4479,3601
AVA,CHPD,2018,5,156,22
AVA,CHPD,2018,7,2236,418
AVA,CHPD,2018,8,3758,1575
AVA,CHPD,2018,9,6706,2009
AVA,CHPD,2018,10,1135,907
AVA,CHPD,2018,11,27,2
AVA,GCPD,2018,1,1349,243
AVA,GCPD,2018,2,991,455
AVA,GCPD,2018,3,9230,6576
AVA,GCPD,2018,4,11160,25882
AVA,GCPD,2018,5,11420,19737
AVA,GCPD,2018,6,11160,17486
AVA,GCPD,2018,7,11365,20101
AVA,GCPD,2018,8,10420,14886
AVA,GCPD,2018,9,4819,2882
AVA,GCPD,2018,10,6750,5533
AVA,GCPD,2018,11,3941,2730
AVA,GCPD,2018,12,7228,2633
AVA,IPCO,2018,1,11614,57147
AVA,IPCO,2018,2,9693,83056
AVA,IPCO,2018,3,10905,66564
AVA,IPCO,2018,4,10606,51734
AVA,IPCO,2018,5,11904,142011
AVA,IPCO,2018,6,10584,151760
AVA,IPCO,2018,7,11904,146089
AVA,IPCO,2018,8,11800,89720
AVA,IPCO,2018,9,8959,36617
AVA,IPCO,2018,10,6387,23300
AVA,IPCO,2018,11,3960,20253
AVA,IPCO,2018,12,3531,10920
AVA,NWMT,2018,1,758,409
AVA,NWMT,2018,2,1366,4407
AVA,NWMT,2018,3,368,256
AVA,NWMT,2018,4,5203,9540
AVA,NWMT,2018,5,9666,26584
AVA,NWMT,2018,6,4427,15263
AVA,NWMT,2018,7,5585,13415
AVA,NWMT,2018,8,708,2927
AVA,NWMT,2018,9,21,4
AVA,NWMT,2018,10,52,20
AVA,NWMT,2018,12,234,88
AVA,PACW,2018,1,3315,12590
AVA,PACW,2018,2,4565,13662
AVA,PACW,2018,3,5538,22239
AVA,PACW,2018,4,6125,16777
AVA,PACW,2018,5,10278,51379
AVA,PACW,2018,6,8798,53301
AVA,PACW,2018,7,9876,46901
AVA,PACW,2018,8,7026,28902
AVA,PACW,2018,9,7413,18061
AVA,PACW,2018,10,8303,29054
AVA,PACW,2018,11,7313,17097
AVA,PACW,2018,12,4496,13709
AVRN,BPAT,2018,7,496,6889
AVRN,BPAT,2018,8,10065,202794
AVRN,BPAT,2018,9,8,5461
AVRN,BPAT,2018,10,8717,533828
AVRN,BPAT,2018,11,7724,347966
AVRN,BPAT,2018,12,9898,568480
AZPS,CISO,2018,1,11975,454476
AZPS,CISO,2018,2,9744,594676
AZPS,CISO,2018,3,11936,798295
AZPS,CISO,2018,4,11160,578546
AZPS,CISO,2018,5,11982,537569
AZPS,CISO,2018,6,11160,591457
AZPS,CISO,2018,7,11978,987926
AZPS,CISO,2018,8,11904,1056676
AZPS,CISO,2018,9,11205,933896
AZPS,CISO,2018,10,11919,1018832
AZPS,CISO,2018,11,11235,930876
AZPS,CISO,2018,12,11904,1006784
AZPS,GRMA,2018,1,134,138
AZPS,GRMA,2018,2,84,25
AZPS,GRMA,2018,4,638,796
AZPS,IID,2018,1,1104,484
AZPS,IID,2018,2,726,628
AZPS,IID,2018,3,4513,3834
AZPS,IID,2018,4,1319,1075
AZPS,IID,2018,5,3613,3009
AZPS,IID,2018,6,654,475
AZPS,IID,2018,7,5312,6754
AZPS,IID,2018,8,1834,2956
AZPS,IID,2018,9,3010,1987
