origin,destination,Year,Month,monthlyTransferMWh
AEC,MISO,2015,7,68789.0
AEC,MISO,2015,8,68771.0
AEC,MISO,2015,9,44691.0
AEC,MISO,2015,10,33251.0
AEC,MISO,2015,11,50132.0
AEC,MISO,2015,12,64411.0
AEC,MISO,2016,1,104211.0
AEC,MISO,2016,2,32514.0
AEC,MISO,2016,3,39179.0
AEC,MISO,2016,4,23232.0
AEC,MISO,2016,5,43369.0
AEC,MISO,2016,6,86111.0
AEC,MISO,2016,7,108435.0
AEC,MISO,2016,8,110472.0
AEC,MISO,2016,9,96747.0
AEC,MISO,2016,10,32821.0
AEC,MISO,2016,11,35848.0
AEC,MISO,2016,12,66681.0
AEC,MISO,2017,1,116369.0
AEC,MISO,2017,2,99210.0
AEC,MISO,2017,3,61912.0
AEC,MISO,2017,4,23671.0
AEC,MISO,2017,5,74066.0
AEC,MISO,2017,6,92724.0
AEC,MISO,2017,7,131230.0
AEC,MISO,2017,8,106637.0
AEC,MISO,2017,9,100127.0
AEC,MISO,2017,10,112534.0
AEC,MISO,2017,11,69312.0
AEC,MISO,2017,12,76858.0
AEC,MISO,2018,1,119447.0
AEC,MISO,2018,2,67662.0
AEC,MISO,2018,3,41530.0
AEC,MISO,2018,4,30003.0
AEC,MISO,2018,5,50136.0
AEC,MISO,2018,6,85506.0
AEC,MISO,2018,7,93000.0
AEC,MISO,2018,8,101198.0
AEC,MISO,2018,9,54991.0
AEC,MISO,2018,10,66543.0
AEC,MISO,2018,11,50609.0
AEC,MISO,2018,12,112475.0
AEC,MISO,2019,1,115751.0
AEC,MISO,2019,2,41059.0
AEC,MISO,2019,3,47024.0
AEC,MISO,2019,4,9051.0
AEC,MISO,2019,5,80424.0
AEC,MISO,2019,6,66195.0
AEC,MISO,2019,7,61646.0
AEC,MISO,2019,8,19262.0
AEC,MISO,2019,9,31376.0
AEC,MISO,2019,10,80493.0
AEC,MISO,2019,11,160869.0
AEC,MISO,2019,12,49008.0
AEC,MISO,2020,1,18103.0
AEC,MISO,2020,2,20635.0
AEC,MISO,2020,3,55330.0
AEC,MISO,2020,4,37691.0
AEC,MISO,2020,5,20435.0
AEC,MISO,2020,6,34379.0
AEC,MISO,2020,7,59575.0
AEC,MISO,2020,8,22500.0
AEC,MISO,2020,9,36447.0
AEC,MISO,2020,10,14942.0
AEC,MISO,2020,11,17416.0
AEC,MISO,2020,12,4342.0
AEC,MISO,2021,1,18555.0
AEC,MISO,2021,2,73628.0
AEC,MISO,2021,3,17503.0
AEC,MISO,2021,4,24758.0
AEC,MISO,2021,5,68834.0
AEC,MISO,2021,6,28403.0
AEC,MISO,2021,7,32429.0
AEC,MISO,2021,8,32414.0
AEC,MISO,2021,9,264.0
AEC,SOCO,2015,7,97200.0
AEC,SOCO,2015,8,76456.0
AEC,SOCO,2015,9,84213.0
AEC,SOCO,2015,10,168116.0
AEC,SOCO,2015,11,94932.0
AEC,SOCO,2015,12,36058.0
AEC,SOCO,2016,1,52284.0
AEC,SOCO,2016,2,78301.0
AEC,SOCO,2016,3,126520.0
AEC,SOCO,2016,4,153902.0
AEC,SOCO,2016,5,71159.0
AEC,SOCO,2016,6,63729.0
AEC,SOCO,2016,7,114764.0
AEC,SOCO,2016,8,90498.0
AEC,SOCO,2016,9,36940.0
AEC,SOCO,2016,10,65296.0
AEC,SOCO,2016,11,1334.0
AEC,SOCO,2016,12,30853.0
AEC,SOCO,2017,1,15590.0
AEC,SOCO,2017,2,41965.0
AEC,SOCO,2017,3,112388.0
AEC,SOCO,2017,4,67923.0
AEC,SOCO,2017,5,46666.0
AEC,SOCO,2017,6,32090.0
AEC,SOCO,2017,7,93122.0
AEC,SOCO,2017,8,29864.0
AEC,SOCO,2017,9,52286.0
AEC,SOCO,2017,10,29145.0
AEC,SOCO,2017,11,18829.0
AEC,SOCO,2017,12,22339.0
AEC,SOCO,2018,1,143134.0
AEC,SOCO,2018,2,6075.0
AEC,SOCO,2018,3,17717.0
AEC,SOCO,2018,4,36647.0
AEC,SOCO,2018,5,27464.0
AEC,SOCO,2018,6,57804.0
AEC,SOCO,2018,7,145301.0
AEC,SOCO,2018,8,141455.0
AEC,SOCO,2018,9,53586.0
AEC,SOCO,2018,10,61488.0
AEC,SOCO,2018,11,30557.0
AEC,SOCO,2018,12,22146.0
AEC,SOCO,2019,1,33981.0
AEC,SOCO,2019,2,24826.0
AEC,SOCO,2019,3,51087.0
AEC,SOCO,2019,4,38610.0
AEC,SOCO,2019,5,72200.0
AEC,SOCO,2019,6,62283.0
AEC,SOCO,2019,7,122443.0
AEC,SOCO,2019,8,103321.0
AEC,SOCO,2019,9,56096.0
AEC,SOCO,2019,10,18190.0
AEC,SOCO,2019,11,20.0
AEC,SOCO,2019,12,32675.0
AEC,SOCO,2020,1,44124.0
AEC,SOCO,2020,2,28092.0
AEC,SOCO,2020,3,26526.0
AEC,SOCO,2020,4,12030.0
AEC,SOCO,2020,5,49700.0
AEC,SOCO,2020,6,90031.0
AEC,SOCO,2020,7,111861.0
AEC,SOCO,2020,8,41018.0
AEC,SOCO,2020,9,22231.0
AEC,SOCO,2020,10,32350.0
AEC,SOCO,2020,11,310.0
AEC,SOCO,2020,12,37312.0
AEC,SOCO,2021,1,9811.0
AEC,SOCO,2021,2,13950.0
AEC,SOCO,2021,3,23625.0
AEC,SOCO,2021,4,7204.0
AEC,SOCO,2021,5,13869.0
AEC,SOCO,2021,6,39559.0
AEC,SOCO,2021,7,15718.0
AEC,SOCO,2021,8,43345.0
AECI,MISO,2015,7,549305.0
AECI,MISO,2015,8,524051.0
AECI,MISO,2015,9,470920.0
AECI,MISO,2015,10,381340.0
AECI,MISO,2015,11,232579.0
AECI,MISO,2015,12,454148.0
AECI,MISO,2016,1,546309.0
AECI,MISO,2016,2,792945.0
AECI,MISO,2016,3,525861.0
AECI,MISO,2016,4,532081.0
AECI,MISO,2016,5,399867.0
AECI,MISO,2016,6,188928.0
AECI,MISO,2016,7,390754.0
AECI,MISO,2016,8,747821.0
AECI,MISO,2016,9,322193.0
AECI,MISO,2016,10,126456.0
AECI,MISO,2016,11,598119.0
AECI,MISO,2016,12,712852.0
AECI,MISO,2017,1,634343.0
AECI,MISO,2017,2,515867.0
AECI,MISO,2017,3,715149.0
AECI,MISO,2017,4,327087.0
AECI,MISO,2017,5,732416.0
AECI,MISO,2017,6,426908.0
AECI,MISO,2017,7,389656.0
AECI,MISO,2017,8,369204.0
AECI,MISO,2017,9,349413.0
AECI,MISO,2017,10,721224.0
AECI,MISO,2017,11,354374.0
AECI,MISO,2017,12,544399.0
AECI,MISO,2018,1,370094.0
AECI,MISO,2018,2,560525.0
AECI,MISO,2018,3,343994.0
AECI,MISO,2018,4,642168.0
AECI,MISO,2018,5,683109.0
AECI,MISO,2018,6,400450.0
AECI,MISO,2018,7,173957.0
AECI,MISO,2018,8,318698.0
AECI,MISO,2018,9,274165.0
AECI,MISO,2018,10,422070.0
AECI,MISO,2018,11,280984.0
AECI,MISO,2018,12,403121.0
AECI,MISO,2019,1,362537.0
AECI,MISO,2019,2,445379.0
AECI,MISO,2019,3,369434.0
AECI,MISO,2019,4,496915.0
AECI,MISO,2019,5,850177.0
AECI,MISO,2019,6,251745.0
AECI,MISO,2019,7,461991.0
AECI,MISO,2019,8,352252.0
AECI,MISO,2019,9,325161.0
AECI,MISO,2019,10,360582.0
AECI,MISO,2019,11,438791.0
AECI,MISO,2019,12,311542.0
AECI,MISO,2020,1,459042.0
AECI,MISO,2020,2,383241.0
AECI,MISO,2020,3,275268.0
AECI,MISO,2020,4,182191.0
AECI,MISO,2020,5,83920.0
AECI,MISO,2020,6,167839.0
AECI,MISO,2020,7,489782.0
AECI,MISO,2020,8,362679.0
AECI,MISO,2020,9,361668.0
AECI,MISO,2020,10,691625.0
AECI,MISO,2020,11,362009.0
AECI,MISO,2020,12,460847.0
AECI,MISO,2021,1,553819.0
AECI,MISO,2021,2,219363.0
AECI,MISO,2021,3,433134.0
AECI,MISO,2021,4,470637.0
AECI,MISO,2021,5,117361.0
AECI,MISO,2021,6,156940.0
AECI,MISO,2021,7,175459.0
AECI,MISO,2021,8,210216.0
AECI,MISO,2021,9,254087.0
AECI,MISO,2021,10,338923.0
AECI,MISO,2021,11,551584.0
AECI,MISO,2021,12,472854.0
AECI,SPA,2015,8,1001.0
AECI,SPA,2015,9,2145.0
AECI,SPA,2015,10,266.0
AECI,SPA,2015,11,2426.0
AECI,SPA,2016,3,391.0
AECI,SPA,2016,4,7361.0
AECI,SPA,2016,6,1496.0
AECI,SPA,2016,7,17697.0
AECI,SPA,2016,8,15182.0
AECI,SPA,2016,9,11722.0
AECI,SPA,2016,10,6982.0
AECI,SPA,2016,11,18087.0
AECI,SPA,2016,12,27577.0
AECI,SPA,2017,1,19385.0
AECI,SPA,2017,2,20871.0
AECI,SPA,2017,3,62989.0
AECI,SPA,2017,4,27440.0
AECI,SPA,2017,5,1665.0
AECI,SPA,2017,6,982.0
AECI,SPA,2017,7,1466.0
AECI,SPA,2017,8,414.0
AECI,SPA,2017,9,3048.0
AECI,SPA,2017,10,965.0
AECI,SPA,2017,11,108.0
AECI,SPA,2017,12,1057.0
AECI,SPA,2018,1,16692.0
AECI,SPA,2018,2,2557.0
AECI,SPA,2018,3,3264.0
AECI,SPA,2018,4,12745.0
AECI,SPA,2018,5,5240.0
AECI,SPA,2018,6,1976.0
AECI,SPA,2018,7,1559.0
AECI,SPA,2018,8,10083.0
AECI,SPA,2018,9,5487.0
AECI,SPA,2018,10,8375.0
AECI,SPA,2018,11,6375.0
AECI,SPA,2018,12,1860.0
AECI,SPA,2019,1,55.0
AECI,SPA,2019,4,280.0
AECI,SPA,2019,5,3174.0
AECI,SPA,2019,6,6130.0
AECI,SPA,2019,7,63.0
AECI,SPA,2019,10,173.0
AECI,SPA,2020,8,256.0
AECI,SPA,2020,9,119.0
AECI,SPA,2020,10,1377.0
AECI,SPA,2020,11,8152.0
AECI,SPA,2020,12,10392.0
AECI,SPA,2021,1,1653.0
AECI,SPA,2021,2,2396.0
AECI,SPA,2021,3,575.0
AECI,SPA,2021,8,72.0
AECI,SPA,2021,9,14425.0
AECI,SPA,2021,10,23476.0
AECI,SPA,2021,11,11454.0
AECI,SPA,2021,12,38636.0
AECI,SWPP,2015,7,148189.0
AECI,SWPP,2015,8,132983.0
AECI,SWPP,2015,9,22294.0
AECI,SWPP,2015,10,85059.0
AECI,SWPP,2015,11,124534.0
AECI,SWPP,2015,12,155482.0
AECI,SWPP,2016,1,51585.0
AECI,SWPP,2016,2,6365.0
AECI,SWPP,2016,3,48369.0
AECI,SWPP,2016,4,35534.0
AECI,SWPP,2016,5,41459.0
AECI,SWPP,2016,6,82370.0
AECI,SWPP,2016,7,57174.0
AECI,SWPP,2016,8,36865.0
AECI,SWPP,2016,9,40947.0
AECI,SWPP,2016,10,167738.0
AECI,SWPP,2016,11,44402.0
AECI,SWPP,2016,12,7318.0
AECI,SWPP,2017,1,10330.0
AECI,SWPP,2017,2,7228.0
AECI,SWPP,2017,3,9376.0
AECI,SWPP,2017,4,38880.0
AECI,SWPP,2017,5,39544.0
AECI,SWPP,2017,6,44261.0
AECI,SWPP,2017,7,51782.0
AECI,SWPP,2017,8,36123.0
AECI,SWPP,2017,9,30078.0
AECI,SWPP,2017,10,14179.0
AECI,SWPP,2017,11,37126.0
AECI,SWPP,2017,12,9180.0
AECI,SWPP,2018,1,14081.0
AECI,SWPP,2018,2,77721.0
AECI,SWPP,2018,3,45327.0
AECI,SWPP,2018,4,46348.0
AECI,SWPP,2018,5,136929.0
AECI,SWPP,2018,6,131281.0
AECI,SWPP,2018,7,130550.0
AECI,SWPP,2018,8,121881.0
AECI,SWPP,2018,9,27593.0
AECI,SWPP,2018,10,249449.0
AECI,SWPP,2018,11,101190.0
AECI,SWPP,2018,12,18014.0
AECI,SWPP,2019,1,98260.0
AECI,SWPP,2019,2,67378.0
AECI,SWPP,2019,3,61481.0
AECI,SWPP,2019,4,218518.0
AECI,SWPP,2019,5,91897.0
AECI,SWPP,2019,6,167193.0
AECI,SWPP,2019,7,170926.0
AECI,SWPP,2019,8,193416.0
AECI,SWPP,2019,9,12885.0
AECI,SWPP,2019,10,289790.0
AECI,SWPP,2019,11,116860.0
AECI,SWPP,2019,12,176465.0
AECI,SWPP,2020,1,164563.0
AECI,SWPP,2020,2,79073.0
AECI,SWPP,2020,3,10974462.0
AECI,SWPP,2020,4,212690.0
AECI,SWPP,2020,5,308570.0
AECI,SWPP,2020,6,102194.0
AECI,SWPP,2020,7,90816.0
AECI,SWPP,2020,8,169129.0
AECI,SWPP,2020,9,71458.0
AECI,SWPP,2020,10,57575.0
AECI,SWPP,2020,11,35315.0
AECI,SWPP,2020,12,20050.0
AECI,SWPP,2021,1,14643.0
AECI,SWPP,2021,2,127646.0
AECI,SWPP,2021,3,27622.0
AECI,SWPP,2021,4,57343.0
AECI,SWPP,2021,5,212364.0
AECI,SWPP,2021,6,246704.0
AECI,SWPP,2021,7,148933.0
AECI,SWPP,2021,8,57664.0
AECI,SWPP,2021,9,36412.0
AECI,SWPP,2021,10,153485.0
AECI,SWPP,2021,11,69483.0
AECI,SWPP,2021,12,44260.0
AECI,TVA,2015,7,130097.0
AECI,TVA,2015,8,115913.0
AECI,TVA,2015,9,113994.0
AECI,TVA,2015,10,108715.0
AECI,TVA,2015,11,96757.0
AECI,TVA,2015,12,83640.0
AECI,TVA,2016,1,154774.0
AECI,TVA,2016,2,129377.0
AECI,TVA,2016,3,112235.0
AECI,TVA,2016,4,105284.0
AECI,TVA,2016,5,101263.0
AECI,TVA,2016,6,102276.0
AECI,TVA,2016,7,144541.0
AECI,TVA,2016,8,163805.0
AECI,TVA,2016,9,165134.0
AECI,TVA,2016,10,163866.0
AECI,TVA,2016,11,130154.0
AECI,TVA,2016,12,182251.0
AECI,TVA,2017,1,206786.0
AECI,TVA,2017,2,169612.0
AECI,TVA,2017,3,164580.0
AECI,TVA,2017,4,166123.0
AECI,TVA,2017,5,172386.0
AECI,TVA,2017,6,152891.0
AECI,TVA,2017,7,148147.0
AECI,TVA,2017,8,160843.0
AECI,TVA,2017,9,162680.0
AECI,TVA,2017,10,134172.0
AECI,TVA,2017,11,105106.0
AECI,TVA,2017,12,210177.0
AECI,TVA,2018,1,250687.0
AECI,TVA,2018,2,182830.0
AECI,TVA,2018,3,223861.0
AECI,TVA,2018,4,188713.0
AECI,TVA,2018,5,150576.0
AECI,TVA,2018,6,186258.0
AECI,TVA,2018,7,154392.0
AECI,TVA,2018,8,170818.0
AECI,TVA,2018,9,161332.0
